model	date.run	location	aoa	yaw	v	L	D	Mp	Cl	Cd	Cm	Re	svl	A	s	AR	rho
Camber	20090404G	Haas	65	0	7.0	1.19E-01	4.70E-01	3.83E-04	3.15E-01	1.24E+00	6.93E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	70	0	7.0	8.49E-02	4.82E-01	3.15E-04	2.25E-01	1.28E+00	5.71E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	75	0	7.0	4.69E-02	4.82E-01	2.37E-04	1.24E-01	1.27E+00	4.30E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	80	0	7.0	6.22E-03	4.68E-01	4.98E-05	1.65E-02	1.24E+00	9.00E-04	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	85	0	7.0	-3.48E-02	4.64E-01	-3.03E-04	-9.20E-02	1.23E+00	-5.48E-03	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	90	0	7.0	-8.14E-02	4.60E-01	-1.23E-03	-2.15E-01	1.22E+00	-2.23E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	105	0	7.0	-2.04E-01	4.28E-01	-2.25E-03	-5.39E-01	1.13E+00	-4.07E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090404G	Haas	120	0	7.0	-2.93E-01	3.47E-01	-2.76E-03	-7.74E-01	9.18E-01	-5.00E-02	6.82E+04	0.146	1.28E-02	0.137	1.46	1.204
Draco2	20090415A	Koehl	-15	0	5.1	-1.02E-01	4.47E-02	-1.93E-03	-4.53E-01	1.99E-01	-6.10E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415A	Koehl	0	0	5.1	1.73E-02	1.87E-02	1.24E-05	7.71E-02	8.36E-02	3.90E-04	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415A	Koehl	15	0	5.1	1.36E-01	5.50E-02	2.09E-03	6.08E-01	2.45E-01	6.58E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415A	Koehl	30	0	5.1	2.09E-01	1.33E-01	2.17E-03	9.34E-01	5.93E-01	6.86E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415A	Koehl	45	0	5.1	1.97E-01	2.06E-01	1.17E-03	8.79E-01	9.21E-01	3.69E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415A	Koehl	60	0	5.1	1.44E-01	2.55E-01	-1.29E-04	6.44E-01	1.14E+00	-4.07E-03	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415A	Koehl	75	0	5.1	7.23E-02	2.76E-01	-9.15E-04	3.23E-01	1.23E+00	-2.89E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415A	Koehl	90	0	5.1	-9.03E-05	2.81E-01	-2.29E-03	-4.03E-04	1.25E+00	-7.23E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415B	Koehl	-15	0	5.1	-8.24E-02	4.37E-02	-1.83E-03	-3.68E-01	1.95E-01	-5.79E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415B	Koehl	0	0	5.1	4.47E-02	2.23E-02	5.51E-04	2.00E-01	9.97E-02	1.74E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415B	Koehl	15	0	5.1	1.67E-01	6.43E-02	2.45E-03	7.47E-01	2.87E-01	7.72E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415B	Koehl	30	0	5.1	2.30E-01	1.46E-01	2.24E-03	1.03E+00	6.51E-01	7.09E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415B	Koehl	45	0	5.1	2.06E-01	2.19E-01	1.07E-03	9.18E-01	9.76E-01	3.37E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415B	Koehl	60	0	5.1	1.47E-01	2.62E-01	-1.31E-04	6.58E-01	1.17E+00	-4.14E-03	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415B	Koehl	75	0	5.1	7.41E-02	2.81E-01	-9.53E-04	3.31E-01	1.25E+00	-3.01E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415B	Koehl	90	0	5.1	1.03E-04	2.87E-01	-2.40E-03	4.60E-04	1.28E+00	-7.58E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415C	Koehl	-15	0	5.1	-9.03E-02	4.26E-02	-1.92E-03	-4.03E-01	1.90E-01	-6.05E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415C	Koehl	0	0	5.1	4.36E-02	2.06E-02	5.46E-04	1.94E-01	9.20E-02	1.72E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415C	Koehl	15	0	5.1	1.73E-01	6.59E-02	2.47E-03	7.72E-01	2.94E-01	7.81E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415C	Koehl	30	0	5.1	2.30E-01	1.47E-01	2.25E-03	1.03E+00	6.57E-01	7.10E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415C	Koehl	45	0	5.1	2.07E-01	2.18E-01	1.09E-03	9.24E-01	9.71E-01	3.45E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415C	Koehl	60	0	5.1	1.55E-01	2.69E-01	-6.23E-05	6.92E-01	1.20E+00	-1.97E-03	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415C	Koehl	75	0	5.1	7.80E-02	2.93E-01	-8.97E-04	3.48E-01	1.31E+00	-2.83E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415C	Koehl	90	0	5.1	7.97E-05	3.02E-01	-2.36E-03	3.56E-04	1.35E+00	-7.46E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415D	Koehl	-15	0	5.1	-7.20E-02	3.76E-02	-1.62E-03	-3.21E-01	1.68E-01	-5.12E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415D	Koehl	0	0	5.1	4.53E-02	2.18E-02	5.85E-04	2.02E-01	9.72E-02	1.85E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415D	Koehl	15	0	5.1	1.63E-01	6.32E-02	2.48E-03	7.26E-01	2.82E-01	7.81E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415D	Koehl	30	0	5.1	2.31E-01	1.47E-01	2.24E-03	1.03E+00	6.57E-01	7.06E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415D	Koehl	45	0	5.1	2.07E-01	2.15E-01	1.11E-03	9.23E-01	9.58E-01	3.50E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415D	Koehl	60	0	5.1	1.53E-01	2.66E-01	-2.58E-05	6.81E-01	1.19E+00	-8.13E-04	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415D	Koehl	75	0	5.1	7.69E-02	2.87E-01	-8.80E-04	3.43E-01	1.28E+00	-2.78E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090415D	Koehl	90	0	5.1	-8.72E-04	2.93E-01	-2.33E-03	-3.89E-03	1.31E+00	-7.36E-02	4.81E+04	0.141	1.43E-02	0.1456	1.48	1.204
Camber	20090415E	Koehl	-15	0	5.1	-4.97E-02	4.32E-02	-2.26E-03	-2.48E-01	2.15E-01	-7.70E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415E	Koehl	0	0	5.1	8.93E-02	3.87E-02	-5.85E-04	4.45E-01	1.93E-01	-2.00E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415E	Koehl	15	0	5.1	1.80E-01	9.52E-02	7.84E-04	8.98E-01	4.74E-01	2.67E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415E	Koehl	30	0	5.1	1.99E-01	1.71E-01	4.31E-04	9.91E-01	8.52E-01	1.47E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415E	Koehl	45	0	5.1	1.57E-01	2.17E-01	3.56E-04	7.80E-01	1.08E+00	1.21E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415E	Koehl	60	0	5.1	9.29E-02	2.31E-01	3.87E-04	4.63E-01	1.15E+00	1.32E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415E	Koehl	75	0	5.1	3.71E-02	2.53E-01	1.65E-04	1.85E-01	1.26E+00	5.64E-03	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415E	Koehl	90	0	5.1	-2.82E-02	2.47E-01	-2.95E-04	-1.40E-01	1.23E+00	-1.01E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415F	Koehl	-15	0	5.1	-2.73E-03	3.56E-02	-2.31E-03	-1.36E-02	1.77E-01	-7.89E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415F	Koehl	0	0	5.1	1.09E-01	3.87E-02	-6.09E-04	5.43E-01	1.93E-01	-2.08E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415F	Koehl	15	0	5.1	2.06E-01	1.03E-01	7.90E-04	1.02E+00	5.13E-01	2.69E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415F	Koehl	30	0	5.1	2.12E-01	1.77E-01	4.97E-04	1.05E+00	8.80E-01	1.69E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415F	Koehl	45	0	5.1	1.50E-01	2.06E-01	3.82E-04	7.46E-01	1.02E+00	1.30E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415F	Koehl	60	0	5.1	1.01E-01	2.44E-01	4.30E-04	5.03E-01	1.21E+00	1.47E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415F	Koehl	75	0	5.1	3.79E-02	2.49E-01	1.65E-04	1.89E-01	1.24E+00	5.62E-03	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415F	Koehl	90	0	5.1	-3.02E-02	2.54E-01	-4.30E-04	-1.50E-01	1.27E+00	-1.47E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415G	Koehl	-15	0	5.1	3.89E-03	3.23E-02	-2.18E-03	1.94E-02	1.61E-01	-7.43E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415G	Koehl	0	0	5.1	1.20E-01	3.84E-02	-4.23E-04	5.99E-01	1.91E-01	-1.44E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415G	Koehl	15	0	5.1	1.98E-01	9.98E-02	7.70E-04	9.85E-01	4.97E-01	2.62E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415G	Koehl	30	0	5.1	2.09E-01	1.74E-01	4.31E-04	1.04E+00	8.66E-01	1.47E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415G	Koehl	45	0	5.1	1.55E-01	2.12E-01	4.00E-04	7.73E-01	1.06E+00	1.36E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415G	Koehl	60	0	5.1	9.92E-02	2.37E-01	4.09E-04	4.94E-01	1.18E+00	1.39E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415G	Koehl	75	0	5.1	3.99E-02	2.53E-01	1.79E-04	1.99E-01	1.26E+00	6.11E-03	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415G	Koehl	90	0	5.1	-2.65E-02	2.48E-01	-4.38E-04	-1.32E-01	1.24E+00	-1.49E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415H	Koehl	-15	0	5.1	1.04E-02	3.21E-02	-2.18E-03	5.16E-02	1.60E-01	-7.42E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415H	Koehl	0	0	5.1	1.22E-01	3.98E-02	-2.76E-04	6.07E-01	1.98E-01	-9.42E-03	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415H	Koehl	15	0	5.1	2.06E-01	1.03E-01	7.47E-04	1.03E+00	5.15E-01	2.55E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415H	Koehl	30	0	5.1	2.03E-01	1.69E-01	4.35E-04	1.01E+00	8.42E-01	1.48E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415H	Koehl	45	0	5.1	1.51E-01	2.08E-01	3.96E-04	7.55E-01	1.03E+00	1.35E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415H	Koehl	60	0	5.1	1.03E-01	2.45E-01	4.14E-04	5.13E-01	1.22E+00	1.41E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415H	Koehl	75	0	5.1	4.07E-02	2.52E-01	1.77E-04	2.03E-01	1.25E+00	6.04E-03	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
Camber	20090415H	Koehl	90	0	5.1	-2.61E-02	2.52E-01	-4.08E-04	-1.30E-01	1.26E+00	-1.39E-02	4.97E+04	0.146	1.28E-02	0.137	1.46	1.204
NoWing	20090415I	Haas	-15	0	7.0	-2.51E-02	2.11E-02	-6.31E-05	-1.65E-01	1.39E-01	-2.76E-03	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415I	Haas	0	0	7.0	3.06E-03	1.51E-02	2.98E-04	2.01E-02	9.93E-02	1.31E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415I	Haas	15	0	7.0	2.36E-02	2.44E-02	5.95E-04	1.55E-01	1.61E-01	2.61E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415I	Haas	30	0	7.0	4.59E-02	4.34E-02	1.06E-03	3.02E-01	2.86E-01	4.63E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415I	Haas	45	0	7.0	5.29E-02	6.52E-02	1.40E-03	3.48E-01	4.29E-01	6.13E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415I	Haas	60	0	7.0	3.91E-02	7.46E-02	1.21E-03	2.58E-01	4.92E-01	5.31E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415I	Haas	75	0	7.0	2.17E-02	8.69E-02	6.89E-04	1.43E-01	5.72E-01	3.02E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415I	Haas	90	0	7.0	4.18E-04	8.95E-02	1.83E-04	2.76E-03	5.89E-01	8.01E-03	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415J	Haas	-15	0	7.0	-9.68E-03	2.02E-02	-6.66E-05	-6.38E-02	1.33E-01	-2.92E-03	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415J	Haas	0	0	7.0	9.54E-03	1.46E-02	2.81E-04	6.28E-02	9.60E-02	1.23E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415J	Haas	15	0	7.0	2.58E-02	2.39E-02	5.89E-04	1.70E-01	1.57E-01	2.58E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415J	Haas	30	0	7.0	3.79E-02	3.62E-02	1.03E-03	2.50E-01	2.38E-01	4.50E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415J	Haas	45	0	7.0	5.67E-02	6.84E-02	1.42E-03	3.73E-01	4.50E-01	6.23E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415J	Haas	60	0	7.0	3.79E-02	7.52E-02	1.28E-03	2.50E-01	4.95E-01	5.59E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415J	Haas	75	0	7.0	2.19E-02	8.76E-02	7.22E-04	1.44E-01	5.77E-01	3.16E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415J	Haas	90	0	7.0	-3.47E-04	9.30E-02	1.59E-04	-2.29E-03	6.12E-01	6.97E-03	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415K	Haas	-15	0	7.0	8.12E-03	1.53E-02	3.03E-04	5.35E-02	1.01E-01	1.33E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415K	Haas	0	0	7.0	1.20E-02	1.73E-02	2.92E-04	7.89E-02	1.14E-01	1.28E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415K	Haas	15	0	7.0	2.44E-02	2.25E-02	5.86E-04	1.61E-01	1.48E-01	2.56E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415K	Haas	30	0	7.0	4.33E-02	3.99E-02	1.03E-03	2.85E-01	2.63E-01	4.53E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415K	Haas	45	0	7.0	4.95E-02	6.26E-02	1.45E-03	3.26E-01	4.12E-01	6.34E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415K	Haas	60	0	7.0	4.27E-02	8.11E-02	1.26E-03	2.81E-01	5.34E-01	5.53E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415K	Haas	75	0	7.0	2.14E-02	8.90E-02	7.84E-04	1.41E-01	5.86E-01	3.43E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415K	Haas	90	0	7.0	1.46E-03	9.01E-02	1.77E-04	9.61E-03	5.94E-01	7.74E-03	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415L	Haas	-15	0	7.0	-3.61E-03	1.64E-02	-1.00E-04	-2.38E-02	1.08E-01	-4.40E-03	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415L	Haas	0	0	7.0	1.34E-02	1.74E-02	3.24E-04	8.82E-02	1.15E-01	1.42E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415L	Haas	15	0	7.0	2.29E-02	2.33E-02	6.01E-04	1.51E-01	1.54E-01	2.63E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415L	Haas	30	0	7.0	4.55E-02	4.17E-02	1.06E-03	3.00E-01	2.75E-01	4.62E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415L	Haas	45	0	7.0	4.98E-02	6.30E-02	1.49E-03	3.28E-01	4.15E-01	6.51E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415L	Haas	60	0	7.0	4.35E-02	8.33E-02	1.27E-03	2.86E-01	5.49E-01	5.56E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415L	Haas	75	0	7.0	2.23E-02	8.74E-02	7.87E-04	1.47E-01	5.76E-01	3.45E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090415L	Haas	90	0	7.0	5.48E-04	8.85E-02	1.94E-04	3.61E-03	5.83E-01	8.47E-03	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
DoubleWing	20090512A	Haas	-15	0	7.0	-3.23E-01	1.45E-01	-4.97E-03	-4.99E-01	2.24E-01	-5.37E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090512A	Haas	0	0	7.0	7.51E-02	7.92E-02	-1.90E-03	1.16E-01	1.22E-01	-2.05E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090512A	Haas	15	0	7.0	5.39E-01	2.20E-01	1.14E-03	8.32E-01	3.40E-01	1.23E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090512A	Haas	30	0	7.0	5.92E-01	4.19E-01	1.22E-03	9.15E-01	6.46E-01	1.32E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090512A	Haas	45	0	7.0	5.69E-01	6.52E-01	9.29E-04	8.79E-01	1.01E+00	1.00E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090512A	Haas	60	0	7.0	4.40E-01	8.82E-01	-9.82E-04	6.80E-01	1.36E+00	-1.06E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090512A	Haas	75	0	7.0	2.13E-01	1.02E+00	-3.11E-03	3.29E-01	1.57E+00	-3.36E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090512A	Haas	90	0	7.0	-5.35E-02	1.02E+00	-5.66E-03	-8.25E-02	1.57E+00	-6.11E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090512B	Haas	-15	0	7.0	-3.17E-01	1.45E-01	-4.94E-03	-4.89E-01	2.23E-01	-5.34E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090512B	Haas	0	0	7.0	4.16E-02	7.45E-02	-2.20E-03	6.43E-02	1.15E-01	-2.38E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090512B	Haas	15	0	7.0	5.33E-01	2.17E-01	1.10E-03	8.23E-01	3.35E-01	1.18E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090512B	Haas	30	0	7.0	5.84E-01	4.12E-01	1.21E-03	9.02E-01	6.37E-01	1.31E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090512B	Haas	45	0	7.0	5.79E-01	6.61E-01	9.25E-04	8.94E-01	1.02E+00	9.99E-03	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090512B	Haas	60	0	7.0	4.43E-01	8.86E-01	-9.01E-04	6.83E-01	1.37E+00	-9.74E-03	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090512B	Haas	75	0	7.0	2.12E-01	1.01E+00	-3.08E-03	3.27E-01	1.57E+00	-3.33E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090512B	Haas	90	0	7.0	-5.24E-02	1.03E+00	-5.60E-03	-8.10E-02	1.58E+00	-6.05E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
Draco2	20090414A	Haas	-15	0	7.0	-2.55E-01	1.23E-01	-3.86E-03	-6.05E-01	2.91E-01	-6.47E-02	6.60E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090414A	Haas	0	0	7.0	4.38E-02	3.82E-02	-8.62E-05	1.04E-01	9.06E-02	-1.44E-03	6.60E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090414A	Haas	15	0	7.0	2.75E-01	1.08E-01	3.24E-03	6.52E-01	2.57E-01	5.43E-02	6.60E+04	0.141	1.43E-02	0.1456	1.48	1.204
Draco2	20090414A	Haas	30	0	7.0	3.87E-01	2.46E-01	2.27E-03	9.17E-01	5.84E-01	3.81E-02	6.60E+04	0.141	1.43E-02	0.1456	1.48	1.204
NoWing	20090414B	Haas	-15	0	7.0	-4.43E-02	3.32E-02	-1.33E-03	-2.91E-01	2.18E-01	-5.81E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090414B	Haas	0	0	7.0	-7.11E-03	1.80E-02	1.67E-04	-4.68E-02	1.19E-01	7.33E-03	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090414B	Haas	15	0	7.0	2.72E-02	3.37E-02	9.41E-04	1.79E-01	2.22E-01	4.12E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090414B	Haas	30	0	7.0	6.02E-02	5.87E-02	1.90E-03	3.97E-01	3.86E-01	8.30E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090414B	Haas	45	0	7.0	7.23E-02	8.96E-02	2.47E-03	4.76E-01	5.90E-01	1.08E-01	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090414B	Haas	60	0	7.0	6.48E-02	1.30E-01	2.93E-03	4.27E-01	8.57E-01	1.28E-01	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090414B	Haas	75	0	7.0	3.52E-02	1.49E-01	1.98E-03	2.31E-01	9.78E-01	8.65E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
NoWing	20090414B	Haas	90	0	7.0	3.16E-03	2.02E-01	1.09E-03	2.08E-02	1.33E+00	4.76E-02	7.02E+04	0.150	5.15E-03	0.028	0.15	1.204
DoubleWing	20090416B	Haas	-15	0	7.0	-3.17E-01	1.60E-01	-2.57E-03	-4.89E-01	2.47E-01	-2.77E-02	6.67E+04	0.143	2.20E-02	0	0.00	1.204
DoubleWing	20090416B	Haas	0	0	7.0	7.27E-02	6.84E-02	-1.44E-03	1.12E-01	1.06E-01	-1.56E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090416B	Haas	15	0	7.0	5.30E-01	1.80E-01	1.72E-03	8.18E-01	2.78E-01	1.86E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090416B	Haas	30	0	7.0	6.13E-01	3.69E-01	2.01E-03	9.46E-01	5.69E-01	2.17E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090416B	Haas	45	0	7.0	5.87E-01	5.96E-01	7.61E-04	9.06E-01	9.20E-01	8.22E-03	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090416B	Haas	60	0	7.0	5.10E-01	8.89E-01	-6.48E-03	7.87E-01	1.37E+00	-7.00E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
DoubleWing	20090416B	Haas	90	0	7.0	-3.88E-03	1.03E+00	-6.48E-03	-6.00E-03	1.59E+00	-7.00E-02	6.67E+04	0.143	2.20E-02	0.2483	2.81	1.204
HalfWing	20090416A	Haas	-15	0	7.0	-5.91E-02	4.28E-02	-1.49E-03	-2.49E-01	1.80E-01	-4.38E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090416A	Haas	0	0	7.0	1.14E-02	2.67E-02	5.86E-04	4.80E-02	1.12E-01	1.73E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090416A	Haas	15	0	7.0	8.27E-02	5.55E-02	2.36E-03	3.48E-01	2.33E-01	6.94E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090416A	Haas	30	0	7.0	1.70E-01	1.29E-01	3.45E-03	7.15E-01	5.42E-01	1.01E-01	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
HalfWing	20090416A	Haas	45	0	7.0	1.85E-01	2.05E-01	2.61E-03	7.77E-01	8.62E-01	7.67E-02	6.67E+04	0.143	8.06E-03	0.0761	0.72	1.204
